Orthogroup	yHMPu5000034610_saturnispora_hagleri_160519.final	yHMPu5000034611_saturnispora_mendoncae_160519.haplomerger2.final	yHMPu5000034612_saturnispora_saitoi_180604.final	yHMPu5000034613_saturnispora_serradocipensis_180604.final	yHMPu5000034614_saturnispora_silvae_180604.final	yHMPu5000034615_saturnispora_zaruensis_160519.final	yHMPu5000035659_saturnispora_dispora_160519.final
OG0000000	g000118.m1, g000675.m1, g001218.m1, g001954.m1, g002157.m1, g002516.m1, g004396.m1, g004986.m1	g002193.m1, g003198.m1, g003908.m1, g004709.m1	g000977.m1, g001004.m1, g002639.m1, g002666.m1, g003557.m1, g003651.m1, g004279.m1, g005149.m1	g001118.m1, g001193.m1, g002427.m1, g003402.m1, g003578.m1, g004013.m1, g004014.m1, g004052.m1, g004058.m1, g004117.m1, g004977.m1	g000774.m1, g002861.m1, g003966.m1, g004231.m1, g004390.m1	g000472.m1, g001224.m1, g002050.m1, g002409.m1, g002419.m1, g002831.m1, g003568.m1	g000919.m1, g001156.m1, g001898.m1, g002136.m1, g004165.m1, g004270.m1, g004700.m1
OG0000001	g000053.m1, g000843.m1, g000844.m1, g000846.m1, g000847.m1, g000986.m1, g000989.m1, g001221.m1, g001222.m1, g001223.m1, g001224.m1, g001330.m1, g001440.m1, g001441.m1, g001445.m1, g002545.m1, g003382.m1, g004433.m1, g004434.m1, g004637.m1, g004823.m1, g004999.m1	g002787.m1		g000656.m1, g001256.m1, g001443.m1, g001717.m1, g001738.m1, g001823.m1, g004051.m1, g004475.m1, g005313.m1		g001529.m1, g001530.m1, g002155.m1	g001902.m1, g002004.m1, g004833.m1, g005142.m1
OG0000002		g002534.m1, g004487.m1, g004634.m1, g004911.m1, g004921.m1	g001023.m1, g004628.m1		g000057.m1, g000808.m1, g001196.m1, g001368.m1, g001409.m1, g001449.m1, g002027.m1, g002209.m1, g002278.m1, g002341.m1, g002557.m1, g002558.m1, g002742.m1, g002743.m1, g002914.m1, g002954.m1, g002960.m1, g002972.m1, g004013.m1, g004177.m1, g004523.m1, g004524.m1, g004525.m1, g004824.m1, g004825.m1, g004961.m1		
OG0000003	g003628.m1, g003941.m1, g004018.m1, g004045.m1, g004050.m1, g004424.m1, g004428.m1, g005185.m1	g003627.m1	g000052.m1, g002660.m1	g001168.m1, g002478.m1, g003035.m1, g004046.m1, g004167.m1, g004189.m1, g004193.m1, g004413.m1, g004711.m1, g004721.m1, g004725.m1, g004938.m1		g002438.m1, g002440.m1, g003693.m1	g002685.m1, g004265.m1, g004599.m1, g004601.m1, g004988.m1
OG0000004	g001613.m1, g004634.m1, g004991.m1		g001002.m1, g001003.m1, g001311.m1, g002650.m1, g002667.m1, g002674.m1, g003719.m1, g005158.m1, g005171.m1, g005196.m1	g001912.m1, g004045.m1, g004445.m1, g004467.m1, g005130.m1, g005132.m1		g002431.m1, g002446.m1, g002483.m1, g003088.m1, g004197.m1, g004952.m1, g004954.m1, g005133.m1	g000359.m1, g004980.m1, g004984.m1
OG0000005	g000395.m1, g001288.m1, g003042.m1, g004229.m1	g000193.m1, g000687.m1, g001782.m1, g003288.m1	g000308.m1, g002590.m1, g004717.m1, g005306.m1	g000270.m1, g000609.m1, g001314.m1, g004654.m1	g001762.m1, g002098.m1, g003391.m1, g003990.m1, g005029.m1	g000319.m1, g000856.m1, g004341.m1, g004747.m1	g000629.m1, g001355.m1, g002364.m1, g003313.m1
OG0000006	g003007.m1, g003008.m1, g003304.m1, g004597.m1	g000793.m1, g002673.m1, g003603.m1, g003604.m1	g000269.m1, g000270.m1, g003413.m1, g004630.m1	g003301.m1, g004256.m1, g004688.m1, g004689.m1	g000714.m1, g003427.m1, g003428.m1, g003429.m1, g004587.m1	g000352.m1, g000353.m1, g001907.m1, g004425.m1	g000213.m1, g000214.m1, g003245.m1, g003976.m1
OG0000007	g000845.m1, g002225.m1, g004366.m1, g004368.m1, g004820.m1		g004179.m1, g004678.m1	g000655.m1, g001592.m1, g001712.m1, g001917.m1, g004144.m1, g004456.m1, g004698.m1, g004732.m1, g004945.m1, g005137.m1			g000622.m1, g000626.m1, g000893.m1, g001795.m1, g001904.m1, g002373.m1, g004818.m1, g004822.m1, g004826.m1, g004992.m1
OG0000008	g001343.m1, g003501.m1, g003997.m1	g000021.m1, g000022.m1, g000568.m1	g001173.m1, g003760.m1, g003978.m1	g000450.m1, g001578.m1, g001711.m1, g001713.m1, g003677.m1, g004915.m1	g001846.m1, g001847.m1, g001848.m1, g002061.m1	g000444.m1, g001110.m1, g004711.m1, g004931.m1	g001015.m1, g003179.m1, g003368.m1, g004829.m1
OG0000009	g000990.m1, g001527.m1, g001620.m1, g002306.m1, g004639.m1, g004818.m1, g004821.m1, g004996.m1, g005187.m1		g001844.m1, g001845.m1, g004537.m1	g000833.m1, g001010.m1, g001166.m1, g001442.m1, g001593.m1, g001822.m1, g004143.m1, g004474.m1, g004940.m1, g004942.m1		g001441.m1	g000357.m1, g001273.m1, g001900.m1
OG0000010	g001215.m1, g003935.m1, g004046.m1, g004052.m1, g004101.m1	g002570.m1	g001010.m1, g001560.m1, g003219.m1, g003715.m1, g003724.m1, g003728.m1	g004017.m1, g004122.m1, g004166.m1, g004190.m1, g004925.m1	g003615.m1	g001221.m1, g001231.m1, g002415.m1, g003695.m1	g001895.m1, g002689.m1, g004266.m1, g004542.m1
OG0000011	g001332.m1, g001615.m1		g001435.m1, g001557.m1, g001747.m1, g002649.m1, g002668.m1, g003709.m1, g005478.m1	g004415.m1, g004944.m1	g004124.m1	g001669.m1, g004199.m1, g004726.m1, g004727.m1, g005134.m1	g000358.m1, g001001.m1, g001148.m1, g002095.m1, g002369.m1, g002370.m1, g002372.m1, g002452.m1, g004832.m1
OG0000012	g002028.m1, g003774.m1, g003775.m1	g002693.m1, g002695.m1, g003401.m1, g003402.m1, g003403.m1	g002841.m1, g002842.m1, g004353.m1	g003821.m1, g004765.m1, g004766.m1	g000134.m1, g000135.m1, g003889.m1, g003891.m1	g002759.m1, g003856.m1, g003857.m1	g003042.m1, g003043.m1, g004774.m1
OG0000013	g000480.m1, g001216.m1, g001621.m1, g002659.m1, g004102.m1, g004828.m1	g001426.m1	g003382.m1, g004951.m1	g000186.m1, g003095.m1, g004016.m1	g001017.m1	g000662.m1, g001595.m1, g002213.m1, g003685.m1, g003688.m1, g004196.m1, g004483.m1, g005135.m1	g000308.m1, g004990.m1
OG0000014	g001610.m1, g001612.m1, g001826.m1, g004077.m1	g002813.m1, g003122.m1	g001306.m1, g001310.m1, g002472.m1, g002642.m1	g002275.m1, g004937.m1, g005127.m1, g005129.m1	g000769.m1, g001373.m1	g001230.m1, g001731.m1, g005130.m1, g005132.m1	g000360.m1, g003131.m1, g004612.m1
OG0000015	g003366.m1, g004011.m1, g004085.m1, g004990.m1	g002045.m1, g004908.m1, g004910.m1	g001308.m1, g002657.m1, g005154.m1	g003406.m1, g004202.m1, g004435.m1	g000772.m1, g001375.m1, g004476.m1	g002413.m1, g003692.m1, g004474.m1	g001152.m1, g002684.m1, g004308.m1, g004610.m1
OG0000016	g001328.m1, g001444.m1, g001528.m1, g001530.m1, g001616.m1, g001617.m1		g004580.m1	g001590.m1, g001914.m1	g001416.m1	g003687.m1, g004477.m1, g004478.m1, g004480.m1, g004955.m1	g000757.m1, g001002.m1, g001384.m1, g001488.m1, g001797.m1, g002003.m1, g002097.m1
OG0000017	g001532.m1, g003696.m1, g003698.m1, g003949.m1	g001322.m1, g001384.m1, g001385.m1	g002536.m1	g003442.m1, g003445.m1, g003446.m1, g004054.m1, g004935.m1	g001465.m1, g001466.m1, g004694.m1	g003117.m1, g003118.m1, g003120.m1	g003414.m1, g003415.m1, g003417.m1
