date,views,unique_views,clones,unique_clones
2025-10-06,132,1,43,35
2025-10-07,175,1,51,37
2025-10-07,163,2,54,37
2025-10-08,190,2,64,41
2025-10-09,211,7,67,41
2025-10-10,212,7,76,45
2025-10-11,214,7,80,45
2025-10-12,216,8,83,47
2025-10-13,216,8,90,49
2025-10-14,214,8,97,53
2025-10-15,217,8,104,55
2025-10-16,217,8,107,54
2025-10-17,219,8,112,55
2025-10-18,219,8,117,57
2025-10-19,219,8,121,59
2025-10-20,219,8,125,60
2025-10-21,63,8,81,43
2025-10-22,31,7,71,39
2025-10-23,18,2,70,37
2025-10-24,17,2,66,35
2025-10-25,24,3,66,35
2025-10-26,22,2,67,35
2025-10-27,22,2,65,35
2025-10-28,22,2,58,30
2025-10-29,21,2,60,31
2025-10-30,21,2,58,30
2025-10-31,19,2,59,32
2025-11-01,19,2,60,33
